,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
BA Fire Station,NCC2025_AU,Fire Station,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Fire Station_NCC2025AU,BA Fire Station_NCC2025AUScheduleSet,33,30.3030303,0.326179244,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Fire StationPeopleDef,NECB-F-Occupancy,BA Fire StationActivity,,,0.21,0.0010668,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Fire StationVent,0.306580,3.30,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,"AUTHOR-ASSUMED area-weighted composite (not a direct NCC table value) - Fire Station is not a single NCC building class, decomposed as: Apparatus Bay / Garage (Class 7a/8-like) 45%; Sleeping Quarters (Class 3 dormitory-style, sleeping only) 25%; Office / Admin / Dayroom (Class 5) 30%. Equipment W/m2 per component per S35C2l, blended by area fraction. Adjust fractions to match actual floor plan; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC S35C2lBA Fire StationElectricalEquipDef,NECB-F-Electric-Equipment,0.278709,3.00,0.37,0.2,NCC J7D3a,,"AUTHOR-ASSUMED area-weighted composite (not a direct NCC table value) - Apparatus Bay / Garage (Class 7a/8-like) 45% -> Carpark - general (nearest available proxy; NCC has no vehicle-bay-specific lighting row) (2.0 W/m2); Sleeping Quarters (Class 3 dormitory-style, sleeping only) 25% -> Dormitory of a Class 3 building used for sleeping only (3.0 W/m2); Office / Admin / Dayroom (Class 5) 30% -> Office - artificially lit to >= 200 lux (4.5 W/m2). Adjust fractions to match actual floor plan; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aBA Fire StationLightingDef,NECB-F-Lighting,0.220816136,0.753424658,8.109863014,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Fire StationGasEquipDef,NECB-F-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Fire StationInfil,Always On,Fire station,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Gymnasium,NCC2025_AU,Gymnasium,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Gymnasium_NCC2025AU,BA Gymnasium_NCC2025AUScheduleSet,33,30.3030303,0.326179244,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA GymnasiumPeopleDef,NECB-B-Occupancy,BA GymnasiumActivity,,,0.3,0.001524,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA GymnasiumVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA GymnasiumElectricalEquipDef,NECB-B-Electric-Equipment,0.750000,8.07293,0.37,0.2,IECC Table C405.3.2(1),,Gymnasium; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA GymnasiumLightingDef,NECB-B-Lighting,0.006691398,0.02283105,0.245753425,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA GymnasiumGasEquipDef,SchoolSecondary BLDG_EQUIP_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA GymnasiumInfil,Always On,Gymnasium,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Healthcare Clinic,NCC2025_AU,Healthcare Clinic,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Healthcare Clinic_NCC2025AU,BA Healthcare Clinic_NCC2025AUScheduleSet,200,5,0.053819575,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Healthcare ClinicPeopleDef,NCC-BizHours-Occupancy,BA Healthcare ClinicActivity,,,0.47,0.0023876,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Healthcare ClinicVent,1.393546,15.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9a clinic/day surgery/procedure unit; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Healthcare ClinicElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,Health-care - examination room; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA Healthcare ClinicLightingDef,NCC-BizHours-Lighting,0.331224205,1.130136986,12.16479452,0,0,0.5,COMNET-REV9,California Commercial End-Use Survey (CEUS),DOEPrototype,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeBA Healthcare ClinicGasEquipDef,OutPatientHealthCare BLDG_EQUIP_SCH_BASE,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Healthcare ClinicInfil,Always On,Health-care clinic,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Hospital,NCC2025_AU,Hospital,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Hospital_NCC2025AU,BA Hospital_NCC2025AUScheduleSet,200,5,0.053819575,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA HospitalPeopleDef,NCC-C9aWard-Occupancy,BA HospitalActivity,,,0.47,0.0023876,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA HospitalVent,0.464515,5.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9a ward area (whole-building composite default); radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA HospitalElectricalEquipDef,Always On,0.232258,2.50,0.37,0.2,NCC J7D3a,,Health-care - all other patient care areas including wards and corridors; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA HospitalLightingDef,NCC-C9aWard-Lighting,0.331224205,1.130136986,12.16479452,0.01,0.2,0.7,COMNET-REV9,California Commercial End-Use Survey (CEUS),DOEPrototype,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeBA HospitalGasEquipDef,Hospital BLDG_EQUIP_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA HospitalInfil,Always On,Hospital,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Hotel,NCC2025_AU,Hotel,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Hotel_NCC2025AU,BA Hotel_NCC2025AUScheduleSet,250,4,0.04305566,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA HotelPeopleDef,NCC-C3-Occupancy,BA HotelActivity,,,0.08,0.0004064,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA HotelVent,1.564128821,16.83628263,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA HotelElectricalEquipDef,NCC-C3-Electric-Equipment,0.530000,5.70487,0.37,0.2,IECC Table C405.3.2(1),,Hotel/Motel; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA HotelLightingDef,NCC-C3-Lighting,0.204087641,0.696347032,7.495479452,0,0.5,0,COMNET-REV9,California Commercial End-Use Survey (CEUS),DOEPrototype,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeBA HotelGasEquipDef,HotelLarge BLDG_EQUIP_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA HotelInfil,Always On,Hotel,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Library,NCC2025_AU,Library,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Library_NCC2025AU,BA Library_NCC2025AUScheduleSet,100,10,0.107639151,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA LibraryPeopleDef,NECB-C-Occupancy,BA LibraryActivity,,,0.11,0.0005588,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA LibraryVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA LibraryElectricalEquipDef,NECB-C-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,Library - reading room and general areas; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA LibraryLightingDef,NECB-C-Lighting,0.006691398,0.02283105,0.245753425,0.01,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA LibraryGasEquipDef,NECB-C-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA LibraryInfil,Always On,Library,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Manufacturing Facility,NCC2025_AU,Manufacturing Facility,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Manufacturing Facility_NCC2025AU,BA Manufacturing Facility_NCC2025AUScheduleSet,143,6.993006993,0.075272133,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Manufacturing FacilityPeopleDef,NECB-A-Occupancy,BA Manufacturing FacilityActivity,,,0.25,0.00127,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Manufacturing FacilityVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 8 (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Manufacturing FacilityElectricalEquipDef,NECB-A-Electric-Equipment,0.820000,8.82641,0.37,0.2,IECC Table C405.3.2(1),,Manufacturing facility; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA Manufacturing FacilityLightingDef,NECB-A-Lighting,0.220816136,0.753424658,8.109863014,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Manufacturing FacilityGasEquipDef,NECB-A-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Manufacturing FacilityInfil,Always On,Manufacturing facility,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Motel,NCC2025_AU,Motel,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Motel_NCC2025AU,BA Motel_NCC2025AUScheduleSet,250,4,0.04305566,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA MotelPeopleDef,NCC-C3-Occupancy,BA MotelActivity,,,0.08,0.0004064,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA MotelVent,1.564128821,16.83628263,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA MotelElectricalEquipDef,NCC-C3-Electric-Equipment,0.530000,5.70487,0.37,0.2,IECC Table C405.3.2(1),,Hotel/Motel; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA MotelLightingDef,NCC-C3-Lighting,0.204087641,0.696347032,7.495479452,0.01,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA MotelGasEquipDef,NECB-F-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA MotelInfil,Always On,Motel,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Motion Picture Theater,NCC2025_AU,Motion Picture Theater,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Motion Picture Theater_NCC2025AU,BA Motion Picture Theater_NCC2025AUScheduleSet,7,142.8571429,1.53770215,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Motion Picture TheaterPeopleDef,NCC-C9bTheatre-Occupancy,BA Motion Picture TheaterActivity,,,1.19,0.0060452,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA Motion Picture TheaterVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Motion Picture TheaterElectricalEquipDef,Always On,0.743224,8.00,0.37,0.2,NCC J7D3a,,"Auditorium, church and public hall (nearest; no dedicated cinema row); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aBA Motion Picture TheaterLightingDef,NCC-C9bTheatre-Lighting,0.006691398,0.02283105,0.245753425,0.01,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA Motion Picture TheaterGasEquipDef,NECB-C-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Motion Picture TheaterInfil,Always On,Motion picture theatre,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Multifamily,NCC2025_AU,Multifamily,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Multifamily_NCC2025AU,BA Multifamily_NCC2025AUScheduleSet,380,2.631578947,0.028326092,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA MultifamilyPeopleDef,NECB-G-Occupancy,BA MultifamilyActivity,,,0.06,0.0003048,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA MultifamilyVent,1.424475869,15.33305825,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA MultifamilyElectricalEquipDef,NECB-G-Electric-Equipment,0.460000,4.95140,0.37,0.2,IECC Table C405.3.2(1),,Multiple-family; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA MultifamilyLightingDef,NECB-G-Lighting,0.204087641,0.696347032,7.495479452,0.01,0.4,0.4,COMNET-REV9,California Commercial End-Use Survey (CEUS),60%ThermEffProcess,COMNET-REV9California Commercial End-Use Survey (CEUS)60%ThermEffProcessBA MultifamilyGasEquipDef,NECB-G-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA MultifamilyInfil,Always On,Multi-unit residential,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Museum,NCC2025_AU,Museum,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Museum_NCC2025AU,BA Museum_NCC2025AUScheduleSet,25,40,0.430556602,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA MuseumPeopleDef,NECB-C-Occupancy,BA MuseumActivity,,,0.36,0.0018288,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA MuseumVent,0.000000,0.00,0,0.5,0,NCC S35C2l,NREL 956/Eley Analysis,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA MuseumElectricalEquipDef,NECB-C-Electric-Equipment,0.232258,2.50,0.37,0.2,NCC J7D3a,,"Museum and gallery - circulation, cleaning and service lighting; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split)",NCC J7D3aBA MuseumLightingDef,NECB-C-Lighting,0.006691398,0.02283105,0.245753425,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA MuseumGasEquipDef,NECB-A-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA MuseumInfil,Always On,Museum,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Office,NCC2025_AU,Office,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Office_NCC2025AU,BA Office_NCC2025AUScheduleSet,200,5,0.053819575,255.91,75,187.67,55,,,130,0.576923077,NCC S35C2n,Class 5 (Office) - Other applications (non-dining),,,NCC S35C2nBA OfficePeopleDef,NCC-BizHours-Occupancy,BA OfficeActivity,,,0.09,0.0004572,,,,COMNET-REV9,WholeBuilding,,"WA original - interim, pending AS1668.2:2024",COMNET-REV9WholeBuildingBA OfficeVent,1.021933,11,0,0.5,0,NCC S35C2l,COMNET-REV9,NCC S35C2l for equipment W/m2; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA OfficeElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.418064,4.5,0.37,0.2,NCC J7D3a,COMNET-REV9,NCC J7D3a for lighting W/m2 (office >= 200 lux row); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA OfficeLightingDef,NCC-BizHours-Lighting,0,0,0,0,0,0,N/A,,No gas appliances assumed for Class 5 office; consistent with NCC Spec 35 (no gas equipment profile modelled for offices),BA OfficeGasEquipDef-NotApplicable,OfficeMedium BLDG_EQUIP_SCH,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA OfficeInfil,Always On,Office,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Parking Garage,NCC2025_AU,Parking Garage,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Parking Garage_NCC2025AU,BA Parking Garage_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA Parking GaragePeopleDef,,,,,,,,,,,,,,,0.000000,0.00,0,0.06,0.88,NCC S35C2l,"Medium Estimate: Workplace, 20% of Spaces with Level 2 Charger12%lost to heat",Class 7a (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lBA Parking GarageElectricalEquipDef,NECB-H-Electric-Equipment,0.185806,2.00,0.37,0.2,NCC J7D3a,,Carpark - general; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aBA Parking GarageLightingDef,NECB-H-Lighting,0,0,0,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA Parking GarageGasEquipDef,NECB-H-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA Parking GarageInfil,Always On,Parking garage,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
BA Penitentiary,NCC2025_AU,Penitentiary,Whole Building,WholeBuilding,2025,AU,NCC,255,255,255,BA Penitentiary_NCC2025AU,BA Penitentiary_NCC2025AUScheduleSet,40,25,0.269097876,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nBA PenitentiaryPeopleDef,NECB-H-Occupancy,BA PenitentiaryActivity,,,0.25,0.00127,,,,COMNET-REV9,WholeBuilding,,,COMNET-REV9WholeBuildingBA PenitentiaryVent,1.492832266,16.06884651,0,0.5,0,COMNET-REV9,NREL 956/Eley Analysis,DOEPrototype,COMNET-REV9NREL 956/Eley AnalysisDOEPrototypeBA PenitentiaryElectricalEquipDef,NECB-H-Electric-Equipment,0.650000,6.99654,0.37,0.2,IECC Table C405.3.2(1),,Penitentiary; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(1)BA PenitentiaryLightingDef,NECB-H-Lighting,0.204087641,0.696347032,7.495479452,0,0.75,0.25,COMNET-REV9,California Commercial End-Use Survey (CEUS),93%ThermEffRadiant,COMNET-REV9California Commercial End-Use Survey (CEUS)93%ThermEffRadiantBA PenitentiaryGasEquipDef,NECB-D-Electric-Equipment,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)BA PenitentiaryInfil,Always On,Penitentiary,WholeBuilding,,2,,MediumSmooth,0.15,0.12,540,1210,0.9,0.7,0.7,Std Wood 6inch,OpenStudio-Prototype-Buildings,,,Std Wood 6inch,OpenStudio-Prototype-BuildingsStd Wood 6inchInternalMassDef
