Each row represents the efficiency standards for a specificy type of chiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Day Type choices: Default, Wkdy, Wknd, Mon, Tue, Wed, Thu, Fri, Sat, Sun, WntrDsn, SmrDsn, Hol",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Category,Units,Day Types,Start Date,End Date,Type,Hr 1,Hr 2,Hr 3,Hr 4,Hr 5,Hr 6,Hr 7,Hr 8,Hr 9,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23,Hr 24,Notes
ApartmentHighRise PLANTCOOLINGONSCHED,Unknown,,Default|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANTCOOLINGONSCHED,Unknown,,Wknd|Wkdy,18-Oct,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANTCOOLINGONSCHED,Unknown,,Wknd|Wkdy,1-Jan,8-May,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANTCOOLINGONSCHED,Unknown,,WntrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANTHEATINGONSCHED,Unknown,,Default|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANTHEATINGONSCHED,Unknown,,Wknd|Wkdy,18-Oct,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANTHEATINGONSCHED,Unknown,,Wknd|Wkdy,1-Jan,8-May,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PLANTHEATINGONSCHED,Unknown,,WntrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise PlantOnSched,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise S CLGSETP_APT_SCH,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise S HTGSETP_APT_SCH,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SHW Latent fract sched,Service Water Heating,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SHW Sensible fract sched,Service Water Heating,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0.2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SHW SUPPLY TEMP SCHED,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,55,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SHW TARGET TEMP SCHED,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SHWSys1 Water Heater Ambient Temperature Schedule,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,22,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SHWSys1 Water Heater Setpoint Temperature Schedule,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SHWSys1-Loop-Temp-Schedule,Service Water Heating,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,60,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise Sliding_Doors_Ventilation_Availability_SCH,Unknown,,Default,1-Jan,31-Dec,Hourly,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,From DOE Prototype Buildings
ApartmentHighRise Sliding_Doors_Ventilation_Availability_SCH,Unknown,,WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise SupplyFanSch,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise ZONE CONTROL TYPE SCHED,Unknown,,Default,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise ZONE CONTROL TYPE SCHED,Unknown,,SmrDsn,1-Jan,31-Dec,Constant,2,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise ZONE CONTROL TYPE SCHED,Unknown,,Wkdy,1-Jan,31-Dec,Constant,4,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentHighRise ZONE CONTROL TYPE SCHED,Unknown,,WntrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise All Off,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise All On,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,1,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise APT_DHW_SCH,Unknown,,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Hourly,0.08,0.04,0.01,0.01,0.04,0.27,0.94,1,0.96,0.84,0.76,0.61,0.53,0.47,0.41,0.47,0.55,0.73,0.86,0.82,0.75,0.61,0.53,0.29,From DOE Prototype Buildings
ApartmentMidRise BLDG_ELEVATORS,Elevator,,Default,1-Jan,31-Dec,Hourly,0.05,0.05,0.05,0.05,0.1,0.2,0.4,0.5,0.5,0.35,0.15,0.15,0.15,0.15,0.15,0.15,0.35,0.5,0.5,0.4,0.4,0.3,0.2,0.1,From DOE Prototype Buildings
ApartmentMidRise BLDG_ELEVATORS,Elevator,,SmrDsn,1-Jan,31-Dec,Constant,0.5,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise BLDG_ELEVATORS,Elevator,,WntrDsn,1-Jan,31-Dec,Constant,0.05,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise CLGSETP_APT_SCH,Thermostat Setpoint,C,Default|WntrDsn|SmrDsn,1-Jan,31-Dec,Constant,0,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise CLGSETP_OFF_SCH_NO_OPTIMUM,Thermostat Setpoint,C,Default|WntrDsn,1-Jan,31-Dec,Constant,29.4,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise CLGSETP_OFF_SCH_NO_OPTIMUM,Thermostat Setpoint,C,SmrDsn,1-Jan,31-Dec,Hourly,29.4,29.4,29.4,29.4,29.4,29.4,29.4,26.7,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,26.7,29.4,29.4,29.4,29.4,29.4,29.4,From DOE Prototype Buildings
ApartmentMidRise CLGSETP_OFF_SCH_No_Setback,Thermostat Setpoint,C,Default|WntrDsn,1-Jan,31-Dec,Constant,23.9,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
ApartmentMidRise CLGSETP_OFF_SCH_No_Setback,Thermostat Setpoint,C,SmrDsn,1-Jan,31-Dec,Hourly,29.4,29.4,29.4,29.4,29.4,29.4,29.4,26.7,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,26.7,29.4,29.4,29.4,29.4,29.4,29.4,From DOE Prototype Buildings
ApartmentMidRise CLGSETP_OFF_SCH_YES_OPTIMUM,Thermostat Setpoint,C,Default|WntrDsn,1-Jan,31-Dec,Constant,29.4,,,,,,,,,,,,,,,,,,,,,,,,From DOE Prototype Buildings
